Team,PlayType,Freq
ARI,PASS,641
ARI,RUSH,384
ATL,PASS,553
ATL,RUSH,408
BAL,PASS,588
BAL,RUSH,440
BUF,PASS,483
BUF,RUSH,389
CAR,PASS,526
CAR,RUSH,440
CHI,PASS,507
CHI,RUSH,399
CIN,PASS,534
CIN,RUSH,354
CLE,PASS,618
CLE,RUSH,305
DAL,PASS,532
DAL,RUSH,448
DEN,PASS,597
DEN,RUSH,419
DET,PASS,613
DET,RUSH,348
GB,PASS,603
GB,RUSH,336
HOU,PASS,567
HOU,RUSH,424
IND,PASS,484
IND,RUSH,342
JAX,PASS,554
JAX,RUSH,500
KC,PASS,568
KC,RUSH,367
LA,PASS,543
LA,RUSH,430
LAC,PASS,617
LAC,RUSH,398
MIA,PASS,628
MIA,RUSH,350
MIN,PASS,571
MIN,RUSH,472
NE,PASS,638
NE,RUSH,441
NO,PASS,558
NO,RUSH,425
NYG,PASS,641
NYG,RUSH,386
NYJ,PASS,533
NYJ,RUSH,406
OAK,PASS,597
OAK,RUSH,360
PHI,PASS,593
PHI,RUSH,428
PIT,PASS,624
PIT,RUSH,411
SEA,PASS,596
SEA,RUSH,339
SF,PASS,624
SF,RUSH,392
TB,PASS,637
TB,RUSH,341
TEN,PASS,523
TEN,RUSH,418
WAS,PASS,557
WAS,RUSH,373
