Team Name,Abbr,Conference,Division
New England Patriots,NWE ,AFC,East
Buffalo Bills,BUF,AFC,East
Miami Dolphins,MIA,AFC,East
New York Jets,NYJ,AFC,East
Pittsburgh Steelers,PIT,AFC,North
Baltimore Ravens,RAV,AFC,North
Cincinnati Bengals,CIN,AFC,North
Cleveland Browns,CLE,AFC,North
Jacksonville Jaguars,JAX,AFC,South
Tennessee Titans,OTI,AFC,South
Indianapolis Colts,CLT,AFC,South
Houston Texans,HTX,AFC,South
Kansas City Chiefs,KAN,AFC,West
Los Angeles Chargers,SDG,AFC,West
Oakland Raiders,RAI,AFC,West
Denver Broncos,DEN,AFC,West
Philadelphia Eagles,PHI,NFC,East
Dallas Cowboys,DAL,NFC,East
Washington Redskins,WAS,NFC,East
New York Giants,NYG,NFC,East
Minnesota Vikings,MIN,NFC,North
Detroit Lions,DET,NFC,North
Green Bay Packers,GNB,NFC,North
Chicago Bears,CHI,NFC,North
New Orleans Saints,NOR,NFC,South
Carolina Panthers,CAR,NFC,South
Atlanta Falcons,ATL,NFC,South
Tampa Bay Buccaneers,TAM,NFC,South
Los Angeles Rams,RAM,NFC,West
Seattle Seahawks,SEA,NFC,West
Arizona Cardinals,CRD,NFC,West
San Francisco 49ers,SFO,NFC,West
