Week,Day,Date,Time,boxscore,WL,OT,Rec,,Opp,Tm,Opp,1stD,TotYdO,PassYO,RushYO,TOO,1stDO,TotYdD,PassYD,RushYD,TOD,OffenseX,DefenseX,Sp. TmsX
1,Thu,September 7,8:30PM ET,boxscore,L,,0-1,,Kansas City Chiefs,27,42,25,371,247,124,,26,537,352,185,1,5.92,-23.18,0.73
2,Sun,September 17,1:00PM ET,boxscore,W,,1-1,@,New Orleans Saints,36,20,29,555,436,119,,20,429,348,81,,27.58,-12.16,-2.32
3,Sun,September 24,1:00PM ET,boxscore,W,,2-1,,Houston Texans,36,33,21,396,337,59,1,23,417,292,125,2,11.52,-7.08,-1.48
4,Sun,October 1,1:00PM ET,boxscore,L,,2-2,,Carolina Panthers,30,33,24,373,293,80,,28,444,304,140,2,18.56,-24.18,2.62
5,Thu,October 5,8:25PM ET,boxscore,W,,3-2,@,Tampa Bay Buccaneers,19,14,23,402,289,113,2,26,409,319,90,,-0.71,-10.33,14.94
6,Sun,October 15,1:00PM ET,boxscore,W,,4-2,@,New York Jets,24,17,23,375,257,118,2,23,408,334,74,3,10.44,0.33,-2.19
7,Sun,October 22,8:30PM ET,boxscore,W,,5-2,,Atlanta Falcons,23,7,25,403,241,162,,21,343,223,120,,15.29,-6.18,6.42
8,Sun,October 29,1:00PM ET,boxscore,W,,6-2,,Los Angeles Chargers,21,13,27,414,317,97,,16,349,192,157,1,9.64,-8.46,5.70
9,,,,,,,,,,,,,,,,,,,,,,,,
10,Sun,November 12,8:30PM ET,boxscore,W,,7-2,@,Denver Broncos,41,16,28,396,297,99,,17,339,221,118,2,14.71,-3.58,13.56
11,Sun,November 19,4:25PM ET,boxscore,W,,8-2,@,Oakland Raiders,33,8,25,421,332,89,,21,344,235,109,2,23.44,-1.26,2.48
12,Sun,November 26,1:00PM ET,boxscore,W,,9-2,,Miami Dolphins,35,17,25,417,221,196,2,15,221,154,67,3,9.46,11.65,-4.69
13,Sun,December 3,1:00PM ET,boxscore,W,,10-2,@,Buffalo Bills,23,3,23,435,244,191,1,16,268,85,183,1,10.85,14.27,-2.35
14,Mon,December 11,8:30PM ET,boxscore,L,,10-3,@,Miami Dolphins,20,27,14,248,223,25,2,21,362,242,120,,-3.59,-7.02,2.39
15,Sun,December 17,4:25PM ET,boxscore,W,,11-3,@,Pittsburgh Steelers,27,24,21,360,283,77,1,21,413,270,143,1,15.30,-12.04,-0.66
16,Sun,December 24,1:00PM ET,boxscore,W,,12-3,,Buffalo Bills,37,16,28,411,218,193,1,17,326,242,84,,21.06,2.94,-0.79
17,Sun,December 31,1:00PM ET,boxscore,W,,13-3,,New York Jets,26,6,28,330,183,147,,14,247,207,40,,9.07,8.84,1.73
18,,,,,,,,,,,,,,,,,,,,,,,,
19,Sat,January 13,8:15PM ET,boxscore,W,,14-3,,Tennessee Titans,35,14,31,438,337,101,,15,267,202,65,,25.58,2.00,-7.65
